epiweek,week_ending,state,ili_pct,wili_pct,ili_cases,patient_visits
202448,2024-11-30,CA,4.432,4.432,10711,241683
202449,2024-12-07,CA,4.812,4.812,14339,298000
202450,2024-12-14,CA,5.339,5.339,15626,292691
202451,2024-12-21,CA,6.751,6.751,20130,298199
202452,2024-12-28,CA,9.251,9.251,22608,244390
202501,2025-01-04,CA,8.62,8.62,22452,260462
202502,2025-01-11,CA,6.888,6.888,21632,314038
202503,2025-01-18,CA,6.379,6.379,20108,315235
202504,2025-01-25,CA,7.292,7.292,21283,291870
202505,2025-02-01,CA,7.288,7.288,22990,315464
202506,2025-02-08,CA,7.025,7.025,22150,315320
202507,2025-02-15,CA,6.045,6.045,18361,303723
202508,2025-02-22,CA,5.774,5.774,16171,280056
202509,2025-03-01,CA,4.69,4.69,14690,313200
202510,2025-03-08,CA,4.093,4.093,12371,302213
202511,2025-03-15,CA,3.962,3.962,11899,300330
202512,2025-03-22,CA,3.798,3.798,11548,304037
202513,2025-03-29,CA,3.616,3.616,10926,302125
202514,2025-04-05,CA,3.345,3.345,9570,286123
202515,2025-04-12,CA,3.337,3.337,9971,298804
202448,2024-11-30,FL,4.351,4.351,9958,228877
202449,2024-12-07,FL,4.28,4.28,10510,245582
202450,2024-12-14,FL,4.584,4.584,11436,249487
202451,2024-12-21,FL,5.666,5.666,14419,254498
202452,2024-12-28,FL,7.017,7.017,17536,249913
202501,2025-01-04,FL,6.55,6.55,17014,259741
202502,2025-01-11,FL,5.986,5.986,15243,254647
202503,2025-01-18,FL,6.539,6.539,16905,258531
202504,2025-01-25,FL,7.135,7.135,17693,247961
202505,2025-02-01,FL,7.647,7.647,20807,272085
202506,2025-02-08,FL,6.937,6.937,18919,272738
202507,2025-02-15,FL,6.233,6.233,16203,259941
202508,2025-02-22,FL,5.291,5.291,13354,252405
202509,2025-03-01,FL,4.631,4.631,11616,250812
202510,2025-03-08,FL,4.384,4.384,11010,251124
202511,2025-03-15,FL,4.077,4.077,10318,253056
202512,2025-03-22,FL,3.644,3.644,8719,239281
202513,2025-03-29,FL,3.313,3.313,8114,244905
202514,2025-04-05,FL,2.85,2.85,6994,245421
202515,2025-04-12,FL,2.71,2.71,6585,243029
202448,2024-11-30,IL,1.814,1.814,1195,65859
202449,2024-12-07,IL,1.976,1.976,1486,75184
202450,2024-12-14,IL,2.349,2.349,1766,75193
202451,2024-12-21,IL,3.228,3.228,2583,80026
202452,2024-12-28,IL,4.919,4.919,3701,75235
202501,2025-01-04,IL,4.413,4.413,3391,76849
202502,2025-01-11,IL,3.369,3.369,2507,74421
202503,2025-01-18,IL,3.559,3.559,2719,76400
202504,2025-01-25,IL,4.341,4.341,3144,72431
202505,2025-02-01,IL,4.737,4.737,3905,82441
202506,2025-02-08,IL,5.587,5.587,4598,82300
202507,2025-02-15,IL,4.888,4.888,3781,77356
202508,2025-02-22,IL,4.26,4.26,3087,72473
202509,2025-03-01,IL,3.332,3.332,2542,76290
202510,2025-03-08,IL,2.896,2.896,2140,73886
202511,2025-03-15,IL,2.588,2.588,1957,75620
202512,2025-03-22,IL,2.228,2.228,1646,73879
202513,2025-03-29,IL,1.993,1.993,1430,71764
202514,2025-04-05,IL,1.669,1.669,1100,65895
202515,2025-04-12,IL,1.465,1.465,1035,70666
202448,2024-11-30,NY,3.998,3.998,7679,192087
202449,2024-12-07,NY,4.427,4.427,9286,209743
202450,2024-12-14,NY,5.093,5.093,11150,218918
202451,2024-12-21,NY,6.167,6.167,13599,220516
202452,2024-12-28,NY,7.303,7.303,15001,205400
202501,2025-01-04,NY,7.428,7.428,16552,222830
202502,2025-01-11,NY,7.796,7.796,17185,220424
202503,2025-01-18,NY,9.56,9.56,21400,223853
202504,2025-01-25,NY,10.134,10.134,22048,217564
202505,2025-02-01,NY,9.939,9.939,22167,223028
202506,2025-02-08,NY,9.368,9.368,20656,220494
202507,2025-02-15,NY,10.325,10.325,22194,214956
202508,2025-02-22,NY,8.354,8.354,16801,201118
202509,2025-03-01,NY,6.671,6.671,14236,213401
202510,2025-03-08,NY,6.088,6.088,12630,207452
202511,2025-03-15,NY,6.001,6.001,12645,210724
202512,2025-03-22,NY,5.573,5.573,11812,211961
202513,2025-03-29,NY,4.977,4.977,10301,206970
202514,2025-04-05,NY,4.574,4.574,9426,206056
202515,2025-04-12,NY,4.322,4.322,8667,200544
202448,2024-11-30,TX,3.908,3.908,1429,36565
202449,2024-12-07,TX,3.642,3.642,1639,45004
202450,2024-12-14,TX,4.354,4.354,1928,44276
202451,2024-12-21,TX,5.555,5.555,2468,44426
202452,2024-12-28,TX,7.141,7.141,2794,39124
202501,2025-01-04,TX,6.469,6.469,1927,29786
202502,2025-01-11,TX,5.67,5.67,2210,38976
202503,2025-01-18,TX,6.01,6.01,2758,45887
202504,2025-01-25,TX,8.374,8.374,3665,43766
202505,2025-02-01,TX,11.296,11.296,5632,49857
202506,2025-02-08,TX,9.132,9.132,4556,49888
202507,2025-02-15,TX,6.213,6.213,2750,44264
202508,2025-02-22,TX,5.51,5.51,2321,42121
202509,2025-03-01,TX,5.044,5.044,2556,50679
202510,2025-03-08,TX,4.39,4.39,1968,44828
202511,2025-03-15,TX,3.689,3.689,1477,40037
202512,2025-03-22,TX,3.318,3.318,1415,42642
202513,2025-03-29,TX,2.878,2.878,1272,44198
202514,2025-04-05,TX,2.676,2.676,1179,44063
202515,2025-04-12,TX,2.771,2.771,1197,43204
